ApplicationDate,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,OutstandingAmount,DaysOverdue,CallResponse,DistanceFromBranch,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,EducationLevel_Bachelor,EducationLevel_Doctorate,EducationLevel_High School,EducationLevel_Master,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,Outstanding_norm,Days_norm,Credit_norm,Distance_norm,PriorityScore,RecoveryStrategy
2019-06-09,30,22628,533,6,32600,48,2,709,0.0896276049735854,3,0,0.1428271654296916,0,1,25,10,5769,644,81765,50269,1885.6666666666667,0.8545298454626458,3,9797,80,0,20,31496,0.2611,0.310112899879449,1193.0474569027713,1.0086870020697036,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.10596486948036106,0.44134078212290506,0.472668810289389,0.38775510204081626,36.42455304479365,Field Visit
2019-06-10,18,46647,528,0,22346,12,0,680,0.3614129666111139,5,1,0.1526865082349899,0,0,15,15,3936,2288,17308,15372,3887.25,0.7475021696166686,8,16913,13,0,25,1936,0.223346,0.2359353940828467,2108.6356771446194,0.7173800700095491,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.19276652842156625,0.06703910614525141,0.4565916398713825,0.4897959183673469,15.342036699401179,SMS Reminder
2019-06-11,20,21015,591,0,14186,120,0,549,0.1836904610445517,2,0,0.1958467696960147,0,0,21,27,11631,2377,340884,9319,1751.25,0.873783702565254,4,12393,15,0,37,331565,0.273686,0.3222183752818326,397.44925718993017,0.5404421168821871,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0.13763112954379117,0.07821229050279331,0.6591639871382635,0.7346938775510203,13.166070665256036,SMS Reminder
2019-06-12,40,50669,579,16,14762,36,1,412,0.0892164115203508,4,1,0.1707037710437076,0,0,19,16,2839,6678,64793,13118,4222.416666666667,0.851898995140099,3,10528,163,0,17,51675,0.210262,0.1863822864875541,538.4198502937392,0.2250890722833462,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.11488167845816051,0.9050279329608938,0.6205787781350482,0.32653061224489793,31.499013957641164,Priority Call
2019-06-13,43,21768,539,16,47338,36,2,644,0.0231571170990427,3,0,0.2382416249971155,0,1,28,10,3571,370,8001,60790,1814.0,0.5589709616019287,5,31418,172,0,48,3395,0.262838,0.2398941956941172,1856.941808977385,1.3786889795906203,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0.36969992681141745,0.9553072625698323,0.49196141479099675,0.9591836734693877,59.8499835880253,Field Visit
2019-06-14,29,66068,582,9,45154,36,3,351,0.2448040276573196,3,1,0.146704717298766,0,1,29,10,918,337,41262,119495,5505.666666666667,0.7685680925159103,7,24328,148,0,27,5255,0.239154,0.2869848,1884.8119116574237,0.4060928579628425,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.2832154183947304,0.8212290502793296,0.630225080385852,0.5306122448979591,50.37799922945643,Field Visit
2019-06-15,47,182401,628,24,23418,36,0,280,0.5018896517996472,7,1,0.4623965135479895,0,0,28,26,2230,2519,219178,52206,15200.083333333334,0.6590342389483993,3,17275,144,1,25,166972,0.194418,0.1631662771944992,826.9727784868575,0.0728267572098962,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.197182239570627,0.7988826815642458,0.778135048231511,0.4897959183673469,35.555163335746585,Field Visit
2019-06-16,20,28129,596,0,17020,120,0,731,0.222440054583638,4,1,0.2860830262644873,0,0,31,20,3387,567,123790,20125,2344.083333333333,0.8279260739171627,5,7680,98,0,32,103665,0.27402,0.3112676431580188,462.905705984239,0.5093273302218659,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.08014149792632348,0.541899441340782,0.67524115755627,0.6326530612244897,22.362584701869004,Regular Call
2019-06-17,39,63911,604,15,43665,36,1,472,0.3733882179286282,3,2,0.4318065140407576,0,0,28,27,2642,1710,313066,126318,5325.916666666667,0.8579338547621094,3,28981,8,0,4,186748,0.226665,0.2312028333507052,1692.9986596789176,0.4065025412862733,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.33997316418638696,0.03910614525139665,0.7009646302250803,0.061224489795918366,14.473324703605314,SMS Reminder
2019-06-18,25,30520,520,4,15564,48,4,286,0.067068654249583,2,1,0.2105368290607946,0,0,31,19,16806,2234,53643,9638,2543.333333333333,0.8878830311907847,5,7264,59,0,1,44005,0.250564,0.2399240715184526,507.34963930086536,0.3119330167631187,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.07506708953403268,0.3240223463687151,0.43086816720257226,0.0,16.043889673213137,SMS Reminder
2019-06-19,32,87635,569,10,24696,84,1,327,0.1766328551297354,3,1,0.0292635779925007,0,0,23,4,787,213,137177,6438,7302.916666666667,0.9303592749649132,4,17138,143,1,25,130739,0.265196,0.291601536896561,692.2391826680024,0.139566043156456,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,0.19551110026835813,0.7932960893854748,0.5884244372990353,0.4897959183673469,37.262470461534,Field Visit
2019-06-20,40,21036,538,18,43303,60,1,279,0.2424009723801546,2,3,0.2658865450932245,0,0,26,29,2028,6884,87015,45551,1753.0,0.878132465329802,3,24828,69,1,18,41464,0.279303,0.3247440090594373,1467.5202677459831,0.9963036324848734,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,0.2893144669431569,0.3798882681564246,0.4887459807073955,0.346938775510204,30.023874782682388,Priority Call
2019-06-21,29,46131,517,5,14498,48,1,1108,0.1943797810310421,1,0,0.3472749240046307,0,0,25,2,14361,1564,84942,46857,3844.25,0.7993166943673979,4,5554,114,1,41,38085,0.250998,0.2528009417060978,482.97970649448615,0.4138595841827369,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.054208343498414246,0.6312849162011173,0.4212218649517685,0.8163265306122448,32.2777872135239,Priority Call
2019-06-22,35,22929,524,11,33343,84,0,404,0.2518133994037194,4,0,0.6137570008763946,0,0,18,9,5956,612,22552,29099,1910.75,0.6303695604234199,6,13889,159,1,41,5258,0.296343,0.3047536882728475,964.0575836551046,0.7159793712704984,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.1558794828006831,0.88268156424581,0.4437299035369775,0.8163265306122448,41.38775720785719,Field Visit
2019-06-23,52,38574,504,32,28574,60,1,436,0.3958743990407198,2,1,0.0880571271988097,0,0,29,11,3532,1220,4752,31473,3214.5,0.7709402533248975,5,22341,22,0,40,4978,0.281574,0.2862818739589007,900.5350243628561,0.4157831775899381,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0.25897779946328375,0.11731843575418996,0.37942122186495175,0.7959183673469387,20.88767449583844,Regular Call
2019-06-24,33,25410,532,10,21595,36,3,578,0.2812460205087458,3,0,0.081255510271233,1,0,32,3,821,1343,56616,6426,2117.5,0.7688020743736119,3,7242,141,0,13,50190,0.240595,0.2388098797145962,845.8846126597062,0.6724366529679842,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,0.07479873139790193,0.7821229050279329,0.46945337620578775,0.24489795918367344,38.32699060149587,Field Visit
2019-06-25,50,89633,662,29,13403,60,4,219,0.1053209596507035,1,2,0.1073214659262813,0,0,16,7,3539,1414,7363,24119,7469.416666666667,0.960870630100269,6,5793,42,1,2,2670,0.187403,0.1561686492043412,323.21273789074087,0.072591041856112,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0.05712368870456208,0.22905027932960895,0.887459807073955,0.02040816326530612,13.667410389964068,SMS Reminder
2019-06-26,26,24086,513,6,15333,96,1,698,0.1327085709561346,1,1,0.6065750293642729,0,0,20,25,2348,2636,109075,5590,2007.1666666666667,0.7451583978744687,4,11940,175,0,5,103485,0.293833,0.2682636550797063,389.39861782744975,0.5417580093801128,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,0.13210539155891682,0.9720670391061452,0.40836012861736326,0.08163265306122448,34.58939970355362,Field Visit
2019-06-27,46,67379,497,24,25456,48,0,297,0.1326742659007589,2,0,0.2534170556771528,0,0,35,25,8765,622,39348,26945,5614.916666666667,0.8167270253237076,2,5653,109,0,26,12403,0.271956,0.3057917993470276,925.1635102148222,0.2176636952548696,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.05541595511100268,0.6033519553072625,0.35691318327974275,0.510204081632653,25.728166111377476,Regular Call
2019-06-28,57,51899,638,35,10811,60,2,1007,0.4575491098438654,1,3,0.3337841938716734,0,0,18,6,3277,1295,25924,76286,4324.916666666667,0.83983177749454,6,2184,101,0,30,4446,0.196811,0.1865096407494521,278.37110577369486,0.297201357815841,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.013100756282020006,0.5586592178770949,0.810289389067524,0.5918367346938774,19.21579291818212,SMS Reminder
2019-06-29,18,49102,613,0,23514,108,3,345,0.3052576652286993,3,1,0.1207878928281911,0,0,32,1,14222,808,25243,32257,4091.8333333333335,0.8334519365983539,4,12123,180,1,25,1631,0.2620139999999999,0.2349900936304337,525.1245835203146,0.2126490774763507,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,0.1343376433276409,1.0,0.729903536977492,0.4897959183673469,39.18007352189104,Field Visit
2019-06-30,30,37448,475,7,28869,60,0,677,0.2004876540179754,0,2,0.0355223988176012,0,0,23,12,21477,1556,64720,10859,3120.6666666666665,0.7063798396654861,4,27695,113,0,24,53861,0.296369,0.2858447118220435,909.0666071730282,0.5082460821960142,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,0.3242864113198341,0.6256983240223464,0.2861736334405145,0.4693877551020408,34.85625288125874,Field Visit
2019-07-01,46,36219,595,26,36048,24,3,115,0.1338300080120429,4,0,0.0764128542544344,0,0,27,26,4069,1288,155998,23206,3018.25,0.8978681870544396,8,8574,8,0,30,132792,0.213548,0.2082728388156121,1849.2932693694893,0.6508053572001953,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,0.09104659673090998,0.03910614525139665,0.6720257234726688,0.5918367346938774,9.947977971954916,SMS Reminder
2019-07-02,37,47726,576,16,10947,36,3,224,0.2640004969623256,6,0,0.1021017126885161,0,1,25,18,4437,144,44547,17283,3977.1666666666665,0.6954535894796443,3,10045,23,0,2,27264,0.207947,0.178189969006404,394.7669954834256,0.1555798505175608,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,0.10898999756038058,0.1229050279329609,0.6109324758842443,0.02040816326530612,25.33504168261953,Regular Call
2019-07-03,44,104635,594,19,42536,60,1,348,0.1958924185314078,5,2,0.7106072275176286,0,0,25,9,2576,566,28091,14958,8719.583333333334,0.338688717862207,1,27687,77,0,50,13133,0.250536,0.2464147152739572,1239.5629952509707,0.1820686762843374,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0.3241888265430593,0.4245810055865922,0.6688102893890675,1.0,28.652087042065904,Priority Call
2019-07-04,32,33830,609,5,51414,36,2,146,0.2385472889659712,2,2,0.1625636083052929,0,1,27,5,600,180,28479,15797,2819.1666666666665,0.8406231457908586,6,14342,158,1,48,12682,0.2319139999999999,0.2340654302028676,2001.1322122340364,0.7616194663555553,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,0.16140522078555747,0.8770949720670391,0.7170418006430868,0.9591836734693877,54.395031286158776,Field Visit
2019-07-05,41,126570,567,22,27040,108,2,544,0.3466934990009668,4,2,0.2785550542901094,1,0,23,26,622,6491,302599,6599,10547.5,0.6554444499765424,5,23372,170,0,44,296000,0.28854,0.2678067190230562,664.7499779653101,0.1146006141706859,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,0.2715540375701391,0.9441340782122905,0.5819935691318328,0.8775510204081631,50.317792493133915,Field Visit
2019-07-06,38,115347,509,19,13107,48,2,471,0.4048404752387677,0,0,0.6526769028270752,0,0,21,13,7472,2763,57140,28925,9612.25,0.6448510029489187,5,3104,133,1,49,28215,0.253607,0.2617205906914139,443.2024597222073,0.0951080610390082,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.024323005611124663,0.7374301675977654,0.39549839228295824,0.9795918367346937,35.108419619121754,Field Visit
2019-07-07,54,27967,538,28,18693,48,0,245,0.3255007936865127,1,0,0.1979630029760918,0,0,29,18,12077,311,12388,19035,2330.583333333333,0.8142622346346269,7,11405,31,0,39,9443,0.244693,0.2936316,666.1539480518395,0.3909553179326375,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,0.1255794096121005,0.1675977653631285,0.4887459807073955,0.7755102040816325,16.947417635775437,SMS Reminder
2019-07-08,43,24328,582,20,21508,60,0,400,0.4245529597034169,2,1,0.2010739355806001,0,0,33,15,1714,2539,40437,77879,2027.3333333333333,0.8485887858525619,3,14943,170,0,31,10609,0.235508,0.2281856875422909,604.0807759370686,0.4952716750758312,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,0.16873627714076606,0.9441340782122905,0.630225080385852,0.6122448979591836,35.424413955467635,Field Visit
2019-07-09,44,57286,587,23,25215,48,0,603,0.0696688138434175,5,0,0.3471600190593655,0,0,24,15,2210,697,14269,34787,4773.833333333333,0.8331749742092007,7,18729,119,0,6,1069,0.226715,0.198838929798006,765.7426214667422,0.2867177226128706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.2149182727494511,0.659217877094972,0.6463022508038585,0.10204081632653061,26.975176683451902,Priority Call
2019-07-10,35,33795,605,11,22269,48,3,140,0.3091521980907417,2,2,0.3152471700256319,0,0,20,6,2246,1307,32293,110876,2816.25,0.6943891190341166,3,8654,87,0,29,8098,0.214769,0.2373860475298648,722.7959677543171,0.3063634150925227,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0920224444986582,0.4804469273743017,0.7041800643086815,0.5714285714285714,20.58718873337333,Regular Call
2019-07-11,34,159473,620,16,25351,24,1,213,0.4418620415064792,3,3,0.158707982005769,0,1,23,7,1334,144,18445,95482,13289.416666666666,0.6609993324817448,4,10513,114,0,4,1646,0.190351,0.2088171825128744,1301.2052836082396,0.1139406884130785,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.11469870700170774,0.6312849162011173,0.752411575562701,0.061224489795918366,37.00509080843174,Field Visit
2019-07-12,34,48703,572,11,21049,60,1,341,0.2092912350587411,5,1,0.5350157624376776,0,0,28,13,27781,1656,403066,5632,4058.5833333333335,0.8707742967587816,1,18499,118,0,14,397434,0.240049,0.2676947579795631,639.8410958788271,0.2416708036578018,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,0.21211271041717492,0.653631284916201,0.5980707395498392,0.26530612244897955,28.049986652166776,Priority Call
2019-07-13,44,27598,527,21,25148,84,3,408,0.0407486883106785,2,0,0.0543179163552769,0,0,24,12,2056,1663,82340,11947,2299.833333333333,0.740997808432759,1,12183,110,1,16,70393,0.286648,0.2966965668610867,713.4783230386561,0.4876346067274393,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0.13506952915345208,0.6089385474860335,0.45337620578778126,0.3061224489795918,31.272399748774543,Priority Call
2019-07-14,34,23789,597,10,17496,60,1,391,0.2013321496321229,1,0,0.0729396952273351,0,0,23,26,9194,182,174006,5887,1982.4166666666667,0.9468988837613486,7,10881,41,0,22,168119,0.223996,0.2108846624466585,474.1966791327736,0.4364353335404297,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.11918760673334959,0.223463687150838,0.6784565916398713,0.4285714285714285,14.520511607229869,SMS Reminder
2019-07-15,43,78097,518,23,18599,48,2,629,0.3932615098962863,1,0,0.4769556180736604,0,0,24,10,312,3970,397041,8306,6508.083333333333,0.9057695369782132,2,10352,84,1,13,388735,0.254599,0.2585627066603937,625.6051475051567,0.1927764417335093,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,0.11273481336911441,0.46368715083798884,0.42443729903536975,0.24489795918367344,26.95433997758783,Regular Call
2019-07-16,64,38543,607,41,16514,24,1,512,0.4652968891935429,3,3,0.495752491185104,1,0,25,27,10026,3488,80166,10869,3211.9166666666665,0.9187805237193784,8,5687,135,1,33,69297,0.188014,0.1772774142748117,822.2758541728521,0.4154142191856946,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0.05583069041229567,0.7486033519553073,0.7106109324758842,0.6530612244897959,41.54920130894169,Field Visit
2019-07-17,50,40317,610,29,57447,72,1,571,0.155083818693593,3,0,0.4949656212025807,0,0,34,26,24022,1328,767840,126014,3359.75,0.8276968957772481,1,30174,7,0,1,641826,0.267447,0.3034123603688409,1740.9022437453043,0.6881173431788985,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,0.35452549402293243,0.0335195530726257,0.720257234726688,0.0,14.271181300236735,SMS Reminder
2019-07-18,36,75338,614,13,45795,96,1,201,0.180706734800964,5,0,0.2950294777858595,0,0,31,27,4138,739,12945,100511,6278.166666666667,0.6164325427761537,5,10747,45,0,23,5395,0.273795,0.3011945796291981,1266.6883735491856,0.2337765866175134,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0.1175530617223713,0.2458100558659218,0.7331189710610932,0.44897959183673464,14.585551496891924,SMS Reminder
2019-07-19,54,40614,650,33,29075,48,4,433,0.400268246155478,1,3,0.3286679784913961,0,0,23,22,6163,817,245266,29174,3384.5,0.8094769847064114,6,9317,39,0,1,216092,0.199075,0.167584159717773,835.3307650366976,0.3747468651312446,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0.10010978287387168,0.21229050279329612,0.8488745980707395,0.0,9.821810075341158,SMS Reminder
2019-07-20,35,48087,519,13,42729,60,3,345,0.1679725978246332,2,2,0.3817279768719382,0,0,30,1,8009,5689,72947,13040,4007.25,0.7875198555845809,9,37006,146,1,33,59907,0.288229,0.2754469288740064,1318.690352523855,0.4151700923386,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,0.4378628933886314,0.8100558659217877,0.427652733118971,0.6530612244897959,47.3760622409629,Field Visit
2019-07-21,18,30755,513,0,32834,48,0,838,0.3380861687527339,3,2,0.2057722120091402,1,0,27,11,5225,6796,143074,4435,2562.9166666666665,0.771551727414107,6,30858,84,0,44,138639,0.271334,0.2940316258477261,1170.8504715996137,0.7838141979904198,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,0.3628689924371798,0.46368715083798884,0.40836012861736326,0.8775510204081631,42.78240235993229,Field Visit
2019-07-22,27,53740,594,3,24116,48,4,440,0.1588562408803411,0,1,0.4009405258597295,0,0,32,16,2536,631,51891,11255,4478.333333333333,0.9310558960651224,8,5232,17,0,21,40636,0.222116,0.1948861929397292,727.3040170826005,0.2606559025863641,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0.05028055623322761,0.0893854748603352,0.6688102893890675,0.4081632653061224,9.095766991145144,SMS Reminder
2019-07-23,18,68853,567,0,10375,72,3,288,0.1290099812098113,5,1,0.4144462866605661,0,0,21,1,1347,192,115233,22681,5737.75,0.7899625719385452,7,4740,152,0,24,92552,0.2418749999999999,0.2425218498032356,274.73135638282065,0.0980752658067745,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.04427909246157599,0.8435754189944134,0.5819935691318328,0.4693877551020408,28.944761332899493,Priority Call
2019-07-24,35,46629,637,13,19320,24,0,617,0.1539108414353217,2,0,0.332434354776488,0,0,13,18,6412,954,91566,9657,3885.75,0.8104335898653232,4,18323,57,1,27,81909,0.17582,0.1448964667339396,932.0841870999582,0.3986577075467948,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,0.20996584532812881,0.3128491620111732,0.807073954983923,0.5306122448979591,23.702526084773755,Regular Call
2019-07-25,40,51605,490,17,18629,48,0,534,0.0940593508105426,5,1,0.2133204635555433,0,0,25,11,891,3946,54373,62287,4300.416666666667,0.3999835970127687,3,14449,119,0,32,10105,0.268629,0.2578298916726848,625.847386269632,0.269705816010766,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,0.1627104171749207,0.659217877094972,0.33440514469453375,0.6326530612244897,31.180973301799032,Priority Call
2019-07-26,60,52192,671,40,12499,36,1,267,0.3631057643222511,2,1,0.2399586254039075,0,0,24,9,5908,569,69132,133239,4349.333333333333,0.8563756624672197,5,2623,111,0,20,9780,0.161999,0.161469588421113,440.3351455882735,0.162630704840958,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.018455720907538425,0.6145251396648045,0.9163987138263665,0.38775510204081626,18.691588490786682,SMS Reminder
2019-07-27,43,22301,554,21,10476,36,2,338,0.0299036498332016,5,0,0.5001902033222219,0,0,29,14,1080,388,347120,9813,1858.4166666666667,0.6731964676462159,4,2999,16,0,49,337307,0.2184759999999999,0.192831449955558,385.5098342991129,0.3893151881794249,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0.02304220541595511,0.08379888268156425,0.540192926045016,0.9795918367346937,12.282268152741068,SMS Reminder
2019-07-28,37,46019,577,15,28179,60,2,341,0.1553466892629282,4,3,0.2035417911464526,0,0,26,11,980,7290,28891,18964,3834.9166666666665,0.8486152057103776,6,22253,65,0,19,9927,0.244679,0.2478398875657703,823.5261711702069,0.303664009518731,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.2579043669187607,0.3575418994413408,0.6141479099678455,0.36734693877551017,22.370934087795437,Regular Call
2019-07-29,49,143143,608,21,25906,12,0,745,0.3174379118696113,3,1,0.4399349309897958,0,0,17,1,381,255,279770,15667,11928.583333333334,0.7031528164713307,2,19275,23,1,20,264103,0.186906,0.1967260920593519,2395.7321953382616,0.2632946518101419,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,0.22157843376433278,0.1229050279329609,0.7138263665594855,0.38775510204081626,19.520490555863233,SMS Reminder
2019-07-30,18,24248,559,0,12287,60,1,446,0.3788870422794579,2,1,0.0067511493170587,0,1,23,11,1790,4475,28336,15094,2020.6666666666667,0.8252882729484096,7,11065,131,0,9,13242,0.2377869999999999,0.2157772592274616,336.4101622803764,0.3872039734149008,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,0.12143205659917052,0.7262569832402235,0.5562700964630225,0.16326530612244897,42.053011844962725,Field Visit
2019-07-31,42,30447,591,17,15169,36,0,580,0.4378790690536024,2,1,0.4838916722469988,0,0,19,9,8669,1137,116616,10028,2537.25,0.8440239964712052,5,12219,110,1,29,106588,0.204669,0.2194477946823993,578.8777373168834,0.456745585699826,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.13550866064893877,0.6089385474860335,0.6591639871382635,0.5714285714285714,30.55422649237922,Priority Call
2019-08-01,49,27396,576,25,39364,60,0,315,0.1244135690336921,4,0,0.2391715274445137,0,0,23,22,5737,1026,56692,11217,2283.0,0.855472334131546,4,37635,165,1,18,45475,0.256364,0.2827063582182855,1232.0654198968089,0.677645825622781,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,0.44553549646255186,0.9162011173184358,0.6109324758842443,0.346938775510204,46.89646194554602,Field Visit
2019-08-02,22,73545,553,0,14202,24,1,476,0.4743010048039404,3,2,0.3482094010796136,0,0,20,29,1891,1702,112306,6466,6128.75,0.8651487956302006,4,9010,43,1,15,105840,0.2127019999999999,0.2084839609799348,728.721905090884,0.1965689422950657,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.09636496706513784,0.2346368715083799,0.5369774919614148,0.28571428571428564,19.815667308620917,Regular Call
2019-08-03,53,69637,542,27,23990,60,1,774,0.3884399121933862,5,0,0.1579328991626154,0,0,19,2,1261,999,81138,36016,5803.083333333333,0.7449977403355913,3,9848,22,1,42,45122,0.25799,0.2119984864232778,651.709965593573,0.2456814565119531,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.10658697243230056,0.11731843575418996,0.5016077170418005,0.836734693877551,20.29816636579352,Regular Call
2019-08-04,44,40682,520,21,20032,60,1,336,0.400610136618106,1,3,0.5532139857020066,0,0,28,10,15664,1019,100830,37493,3390.1666666666665,0.8441067849399448,5,6107,113,1,34,63337,0.265032,0.2480298939661158,585.6542605562345,0.2718610473102309,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.0609538911929739,0.6256983240223464,0.43086816720257226,0.673469387755102,31.529740103097666,Priority Call
2019-08-05,35,23120,543,12,28372,108,4,427,0.6846062833712997,3,0,0.2156648765003062,0,0,24,3,336,457,113183,83219,1926.6666666666667,0.8099517441499174,5,5778,80,0,31,29964,0.301872,0.3102253510826887,783.2188380821821,0.6281412654405789,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.056940717248109285,0.44134078212290506,0.5048231511254018,0.6122448979591836,20.754734049057806,Regular Call
2019-08-06,47,50073,567,25,14356,96,0,204,0.2819205850164325,1,0,0.3868606555216041,0,0,22,25,2920,763,72604,6365,4172.75,0.8148031922088547,8,4306,45,1,48,66239,0.265856,0.235153695890944,333.0048835124405,0.1286932798543983,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,0.038985118321541834,0.2458100558659218,0.5819935691318328,0.9591836734693877,21.29078762232291,Regular Call
2019-08-07,67,18631,618,42,23041,36,0,275,0.3301627092270675,3,2,0.1951929570722009,0,0,25,13,981,2171,208950,5528,1552.5833333333333,0.7001696635895108,7,15654,119,1,16,203422,0.199041,0.1958434828814228,851.4141794159102,0.7255096426917998,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,0.17740912417662846,0.659217877094972,0.7459807073954983,0.3061224489795918,30.873525823616134,Priority Call
2019-08-08,42,54781,574,17,23965,12,0,341,0.3608292877413388,4,1,0.6982375833266787,0,0,34,26,3489,331,101061,4705,4565.083333333333,0.665037009735625,3,12572,168,0,14,96356,0.201965,0.1846480200887481,2202.415699871136,0.5571455139273404,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,0.13981458892412785,0.9329608938547486,0.6045016077170418,0.26530612244897955,32.799974549167025,Priority Call
2019-08-09,42,104824,657,21,24713,60,1,237,0.1650811924544255,5,3,0.3935355500794226,0,0,28,11,3414,2625,345683,7917,8735.333333333334,0.6914653615415192,1,20606,78,0,37,337766,0.2012129999999999,0.2008722285804539,655.9433004121668,0.1022220064579294,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0.23781410100024397,0.4301675977653632,0.8713826366559485,0.7346938775510203,22.848255995337016,Regular Call
2019-08-10,34,29521,558,14,22914,60,2,781,0.677023714047197,7,1,0.2894717781736163,0,0,26,18,7912,912,47959,104223,2460.083333333333,0.8645850774384937,2,10603,176,0,37,8052,0.2489139999999999,0.2433366119597937,663.6343860072709,0.5872298577991006,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.11579653574042449,0.9776536312849162,0.5530546623794212,0.7346938775510203,36.05815961829653,Field Visit
2019-08-11,29,18550,551,7,26168,12,2,265,0.2200993669347555,2,1,0.3075058693959771,0,1,29,14,10003,330,28729,8107,1545.8333333333333,0.9108616412153268,6,12695,78,1,48,20622,0.215668,0.2146711465003419,2442.4715424986616,1.7514640706190805,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.14131495486704074,0.4301675977653632,0.5305466237942122,0.9591836734693877,44.48409071955012,Field Visit
